"t","x","y","v","r","psi","sa","ux","ax","sr","jx"
0.0,200.0,0.0,0.0,0.0,1.5707963267948966,0.0,17.0,0.0,0.0,0.0
0.021739130434782594,200.00004533559752,0.3695652174026589,-0.0041989713144597275,4.472994251138887e-5,1.5707968290531882,0.0,17.0,0.0,0.0,0.0
0.043478260869565244,200.000176981293,0.7391304349525792,-0.008104111054342696,8.124768223587862e-5,1.570798212106252,0.0,17.0,0.0,0.0,0.0
0.06521739130434784,200.00038872099205,1.1086956529686665,-0.011734244468411904,0.00011077247762777892,1.5708003108290607,0.0,17.0,0.0,0.0,0.0
0.08695652173913043,200.0006747568335,1.4782608718921928,-0.015107228653999345,0.00013435608486946977,1.5708029850803418,0.0,17.0,0.0,0.0,0.0
0.10869565217391303,200.0010296818959,1.847826092220016,-0.018239971599188665,0.00015290605968133823,1.5708061160469118,0.0,17.0,0.0,0.0,0.0
0.13043478260869568,200.00144845543096,2.2173913144723905,-0.021148440371000988,0.00016720991777059902,1.5708096024551554,0.0,17.0,0.0,0.0,0.0
0.15217391304347827,200.00192638806735,2.586956539159101,-0.02384769618019055,0.00017794041337421715,1.5708133597758562,0.0,17.0,0.0,0.0,0.0
0.17391304347826086,200.00245911529566,2.956521766755227,-0.026351927036269457,0.00018567439738708874,1.5708173173031064,0.0,17.0,0.0,0.0,0.0
0.19565217391304346,200.00304257128397,3.3260869976970677,-0.02867447344249607,0.0001909136358023376,1.5708214149260102,0.0,17.0,0.0,0.0,0.0
0.2173913043478261,200.00367297529777,3.6956522323768053,-0.030827861724897442,0.0001940896214557499,1.5708256024172924,0.0,17.0,0.0,0.0,0.0
0.2391304347826087,200.0043468279144,4.065217471121947,-0.03282383022977203,0.0001955596055846246,1.5708298400804082,0.0,17.0,0.0,0.0,0.0
0.2608695652173913,200.00506087066879,4.43478271420924,-0.03467339193816809,0.00019563211862245526,1.5708340948423745,0.0,17.0,0.0,0.0,0.0
0.2826086956521739,200.00581206904863,4.804347961870449,-0.03638686332286635,0.00019457699613573514,1.5708383387247555,0.0,17.0,0.0,0.0,0.0
0.30434782608695654,200.00659760856692,5.173913214292896,-0.03797387650895902,0.00019262605743657594,1.5708425487539832,0.0,17.0,0.0,0.0,0.0
0.32608695652173914,200.00741488070582,5.543478471612886,-0.03944344071528308,0.00018997004520477436,1.5708467075196009,0.0,17.0,0.0,0.0,0.0
0.34782608695652173,200.0082614836751,5.9130437339162105,-0.040803931194079816,0.00018676102252430224,1.5708508027831778,0.0,17.0,0.0,0.0,0.0
0.3695652173913043,200.00913517531743,6.282609001260777,-0.04206319438670082,0.00018313284835993357,1.570854824423728,0.0,17.0,0.0,0.0,0.0
0.391304347826087,200.01003386822123,6.652174273678343,-0.043228560547971306,0.00017920278483414553,1.5708587642037986,0.0,17.0,0.0,0.0,0.0
0.41304347826086957,200.01095562970715,7.021739551174502,-0.04430684383928822,0.0001750714845715799,1.570862615771573,0.0,17.0,0.0,0.0,0.0
0.43478260869565216,200.01189867670217,7.391304833725808,-0.04530437810928324,0.00017081789105224233,1.5708663755056624,0.0,17.0,0.0,0.0,0.0
0.45652173913043476,200.0128613619106,7.760870121285383,-0.0462270567280065,0.00016650253609333751,1.5708700420540294,0.0,17.0,0.0,0.0,0.0
0.4782608695652174,200.01384215419222,8.130435413794025,-0.04708036954118096,0.00016217819592848794,1.5708736147210853,0.0,17.0,0.0,0.0,0.0
0.5,200.01483963315144,8.500000711180105,-0.04786942651179557,0.0001578887844559141,1.570877093672859,0.0,17.0,0.0,0.1194782120195345,0.15583710133511364
0.5217391304347826,200.0158362003797,8.869566516740797,-0.047846020515715584,0.0010229064228315951,1.5708868363849626,0.0026280485230711454,17.000069466572278,0.00639773988019164,0.1194782120195345,0.15583710133511364
0.5434782608695652,200.01675175134514,9.239135364116692,-0.046704553895562675,0.0035047854722764053,1.5709332791555564,0.0053174892218700275,17.000278458917865,0.012836371144419233,0.1194782120195345,0.15583710133511364
0.5652173913043479,200.01749617684195,9.60871032223152,-0.045031472985943614,0.00743730435712706,1.5710497266145476,0.008068322096396676,17.00062786597989,0.019315893792682857,0.1194782120195345,0.15583710133511364
0.5869565217391304,200.01798471978117,9.978294456301859,-0.043315400143842706,0.012674184776890609,1.571266087807536,0.010880547146651034,17.00111857670149,0.025836307824982373,0.1194782120195345,0.15583710133511364
0.6086956521739131,200.01813649022424,10.347890771023229,-0.04196122307172168,0.019086682481985917,1.5716092960517578,0.013754164372633175,17.00175148002579,0.032397613241317944,0.1194782120195345,0.15583710133511364
0.6304347826086957,200.0178733360492,10.717502151274147,-0.04130122129522238,0.026561527477118665,1.5721036399811186,0.01668917377434304,17.002527464895923,0.03899981004168945,0.1194782120195345,0.15583710133511364
0.6521739130434783,200.01711867440645,11.08713128964914,-0.04160690429801288,0.034998672516805815,1.572771114452375,0.019685575351780654,17.00344742025502,0.04564289822609694,0.1194782120195345,0.15583710133511364
0.6739130434782609,200.01579673502752,11.456780627033659,-0.04309701586184026,0.04430971162587761,1.5736316580347043,0.022743369104946006,17.004512235046214,0.05232687779454039,0.1194782120195345,0.15583710133511364
0.6956521739130435,200.01383188185045,11.826452277283723,-0.04594535139783887,0.054416241935363444,1.5747033838011495,0.025862555033839097,17.005722798212638,0.05905174874701982,0.1194782120195345,0.15583710133511364
0.7173913043478262,200.0111478065543,12.196147957770965,-0.050289641974239206,0.06524818360951312,1.576002837471643,0.029043133138459964,17.00707999869742,0.06581751108353529,0.1194782120195345,0.15583710133511364
