idx,t,xv,yv,psi
1,0.0,200.0,0.0,1.57079632679
2,3.5,199.90467275523548,24.87244338676128,1.5921755022936899
3,7.0,196.9027883894265,68.03091294816525,1.362963214992319
4,10.5,200.0432333834,126.16997257678706,1.507097757959604
