"u"
"[13.6241,87.2498,-0.0763325,-0.274919,1.52597,-0.100524,10.0,0.0]"
"[13.7056,88.004,-0.0726486,-0.292237,1.50447,-0.104988,10.0,0.0]"
"[13.7614,88.442,-0.0694473,-0.300993,1.49139,-0.106861,10.0,0.0]"
"[13.8853,89.2778,-0.0588679,-0.311348,1.46548,-0.105517,10.0,0.0]"
"[14.0116,90.0085,-0.0437732,-0.309774,1.44242,-0.0998071,10.0,0.0]"
"[14.1871,90.9036,-0.0238591,-0.296902,1.41472,-0.0921378,10.0,0.0]"
"[14.3689,91.7343,-0.0092458,-0.279389,1.39022,-0.0849159,10.0,0.0]"
"[14.4735,92.1796,-0.00340523,-0.268799,1.37769,-0.0810051,10.0,0.0]"
