"U1","U2"
0.002642046472086393,0.0
0.015689342162060343,0.0
0.02566303112170853,0.0
0.03399124190713233,0.0
0.03883132968575758,0.0
0.034059565397607336,0.0
0.0061670293732049505,0.0
-0.0321498165143763,0.0
-0.052832370616600365,0.0
-0.062423799159421874,0.0
-0.06472280448401868,0.0
-0.06110348286628835,0.0
-0.04466449176323964,0.0
-0.026585705622761083,0.0
-0.06899766854244913,0.0
-0.0776846593217466,0.0
-0.08101850686096726,0.0
-0.08226634474280906,0.0
-0.08222122118447435,0.0
-0.08055571871904826,0.0
-0.07473067839054552,0.0
-0.03820938349815654,0.0
-0.006614737865126931,0.0
-0.005510196525086514,0.0
0.05275495706560621,0.0
0.07036668060600014,0.0
0.08112902898878742,0.0
0.08488082929796156,0.0
0.08107814419101278,0.0
0.08585731703287754,0.0
0.0764297740459349,0.0
0.06646503660597221,0.0
0.0789505357854998,0.0
0.08084816269243665,0.0
0.07256224559297263,0.0
0.025075910270773463,0.0
-0.0010457585215351772,0.0
